Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Prarthana,1969,131.0,Drama,6.0,25.0,Vasant Joglekar,Abhi Bhattacharya,Dhumal,Jankidas
Prashna Chinnha,2001,131.0,Drama,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Prassthanam,2019,141.0,"Action, Drama",5.9,1.0,Deva Katta,Sanjay Dutt,Jackie Shroff,Ali Fazal
Prateeksha,1993,131.0,"Action, Crime",5.2,32.0,Lawrence D'Souza,Jeetendra,Moushumi Chatterjee,Vinod Mehra
Prateeksha,2006,150.0,Romance,5.5,47.0,Basu Chatterjee,Jimmy Sheirgill,Dia Mirza,Anupam Kher
Pratha,2002,131.0,"Action, Drama, Thriller",6.2,34.0,Raja Bundela,Deepak Bandhu,Irrfan Khan,Ashney Shroff
Prathap,1993,131.0,Action,6.0,25.0,Kushboo,Arjun Sarja,Rekha,Pran
Pratibad,1948,131.0,Drama,6.0,25.0,Hemchandra Chunder,Bharati Devi,Sumitra Devi,Paul Mahendra
Pratibandh,1990,159.0,"Action, Drama",6.0,128.0,Ravi Raja Pinisetty,Chiranjeevi,Juhi Chawla,Rami Reddy
Pratibha,1937,129.0,"Crime, Drama, Musical",6.0,25.0,Baburao Painter,Durga Khote,Keshavrao Date,Heera
Pratibha,1984,131.0,Drama,6.0,25.0,Chiranjeet Dhawan,Raja Bundela,Dilip Dhawan,Benjamin Gilani
Pratibimbo,2020,21.0,"Crime, Drama, Mystery",7.8,8.0,Yogesh Ingole,Moumita Goswami,Priyanka Karkera,Abhishail Kharote
Pratichhaya,1991,131.0,Thriller,6.0,25.0,Mukesh Jadhav,Rahul Dev,Zenia Starr,Makrand Deshpande
Pratidhwani,1993,131.0,Action,5.0,7.0,Kodanda Rami Reddy A.,Venkatesh Daggubati,Charu Haasan,Charan Raj
Pratiggya,1943,131.0,Drama,6.0,25.0,Nandlal Jaswantlal,Meena Kumari,Rekha,Pran
Pratiggya,1975,131.0,"Action, Comedy, Drama",7.2,295.0,Dulal Guha,Dharmendra,Hema Malini,Ajit
Pratighaat,1987,164.0,"Action, Crime, Drama",7.0,71.0,N. Chandra,Sujata Mehta,Arvind Kumar,Charan Raj
Pratigyabadh,1991,125.0,Drama,5.5,37.0,Ravi Chopra,Asrani,Beena Banerjee,Mithun Chakraborty
Pratikar,1991,150.0,"Action, Crime, Drama",4.9,105.0,Rama Rao Tatineni,Rakhee Gulzar,Anil Kapoor,Madhuri Dixit
Pratima,1936,131.0,Drama,6.0,25.0,Ram Daryani,Sardar Akhtar,Indurani,Nazir
Pratima,1945,131.0,Drama,6.2,13.0,Paidi Jairaj,Dilip Kumar,Mukri,Pran
Pratima Aur Payal,1977,131.0,Musical,6.0,25.0,Sharan Agarwal,Rita Bhaduri,Sachin Pilgaonkar,Sarika
Pratimurti,1993,131.0,Drama,6.0,25.0,Bimal Dutta,Rakhee Gulzar,Rajendra Gupta,Sadhu Meher
Pratisaad: The Response,2010,126.0,"Biography, Drama",7.4,24.0,Yogesh Dattatraya Gosavi,Sandeep Kulkarni,Kishore Kadam,Neelam Shirke
Pratishodh,1981,121.0,Drama,6.5,18.0,Sukhen Das,Uttam Kumar,Soumitra Chatterjee,Sabitri Chatterjee
Pratishodh,1980,109.0,Drama,6.0,25.0,I.V. Sasi,Jayabharati,Madhu,Sharada
Pratyaghat,1994,125.0,Musical,6.7,11.0,Santanu Bhowmick,Prasenjit Chatterjee,Indrani Dutta,Shakti Kapoor
Pravaasi,2005,131.0,Drama,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Pravaasi Mandir,2002,131.0,Drama,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Pravesh Nishedh,2000,131.0,Thriller,6.0,25.0,Baby Lona,Lakshmi Raj,Rekha,Pran
Prayaas,1996,131.0,Drama,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Prayashchit,1977,131.0,Drama,6.0,25.0,Kamal Majumdar,Ashok Kumar,Mala Sinha,Nanda
Prayashchit,1992,131.0,Drama,6.0,25.0,Kuldeep Bakshi,Ajay,Surendra Gupta,Navni Parihar
Preet,1945,131.0,Drama,6.0,25.0,Ram Daryani,Ashok Kumar,Rekha,Pran
Preet Ki Dori,1971,131.0,"Action, Drama, Romance",5.8,6.0,Satish Kumar,Parikshit Sahni,Tanuja,Bindu
Preet Na Jane Reet,1966,131.0,Romance,6.5,28.0,S. Bannerjee,Shammi Kapoor,Saroja Devi B.,Nasir Hussain
Preet Na Jane Reet,1984,131.0,Drama,6.0,25.0,Shama Kakkar,Bharat Bhushan,Bharat Kapoor,Lalit Kohli
Preetam,1971,137.0,"Comedy, Romance",6.2,27.0,Bhappi Sonie,Shammi Kapoor,Leena Chandavarkar,Helen
Preetam,1942,131.0,Drama,6.0,25.0,Ghulam Rasool,Ashok Kumar,Rekha,Pran
Preetam More Ganga Teere,1985,131.0,Romance,6.0,25.0,Durga Prasad,Jayshree T.,Rekha,Pran
Preeti,1986,131.0,Drama,6.0,25.0,Saawan Kumar Tak,Chaman Bagga,Prem Chopra,Jugnu
Prem,1995,167.0,"Action, Drama, Romance",4.1,220.0,Satish Kaushik,Sanjay Kapoor,Tabu,Deepak Tijori
Prem Aggan,1998,168.0,"Drama, Romance",1.7,544.0,Feroz Khan,Fardeen Khan,Meghna Kothari,Sameer Malhotra
Prem Aur Vasna,1981,131.0,Romance,6.0,25.0,S.R. Puttana Kanagal,Chandrasekhar,Jayant,Pran
Prem Bandhan,1936,131.0,Drama,6.0,25.0,Ramnik Desai,C.N. Lala,Sardar Akhtar,Panna Rani
Prem Bandhan,1979,131.0,"Adventure, Drama, Romance",6.6,37.0,Ramanand Sagar,Rajesh Khanna,Rekha,Moushumi Chatterjee
Prem Chakori,2002,82.0,Thriller,6.0,25.0,Roshini,Shakeela,Sharmily,Pran
Prem Daan,1992,131.0,Romance,8.0,13.0,Saawan Kumar Tak,Nitish Bharadwaj,Kushboo,Abhinav Chaturvedi
Prem Deewane,1992,160.0,"Action, Comedy, Drama",5.2,220.0,Sachin Pilgaonkar,Sachin,Pooja Bhatt,Bharat Bhushan
Prem Geet,1981,150.0,Romance,7.7,67.0,Sudesh Issar,Raj Babbar,Anita Raj,Rajni Sharma
Prem Hatya,2001,131.0,Thriller,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
Prem Ishq Love,1995,131.0,Romance,6.0,25.0,Aftaab Khan,Ashok Kumar,Rekha,Pran
Prem Jaal,2001,131.0,Thriller,6.0,25.0,Boopathi,Anil Soni,Rekha,Pran
Prem Jung,1991,131.0,Action,6.5,6.0,S.V. Rajendra Singh Babu,Amala Akkineni,Nagarjuna Akkineni,Mohan Babu
Prem Jyoti,1985,131.0,Romance,4.9,8.0,Krishna Ghattamaneni,Sridevi,Rekha,Pran
Prem Ka Nasha,1933,131.0,Drama,6.0,25.0,Abdul Rehman Kabuli,Jehanara Kajjan,Keravala,Pran
Prem Kaa Game,2010,131.0,"Comedy, Drama",3.4,218.0,Ashok Kheny,Arbaaz Khan,Madhuri Bhattacharya,Tara Sharma
Prem Kahani,1937,87.0,"Drama, Family, Romance",5.9,12.0,Franz Osten,Ashok Kumar,N.M. Joshi,Bilqis
Prem Kahani,1975,149.0,"Drama, Musical, Romance",6.6,150.0,Raj Khosla,Rajesh Khanna,Shashi Kapoor,Mumtaz
Prem Ki Aag,1936,131.0,Drama,6.0,25.0,M.L. Kapoor,Mukhtar Begum,Husn Banu,Bhai Desa
Prem Ki Devi,1936,131.0,Drama,6.0,25.0,Keravala,Ashok Kumar,Rekha,Pran
Prem Ki Duniya,1946,131.0,Drama,6.0,25.0,Jyotish Bannerjee,Alaknanda,Chhabi Biswas,Ahindra Choudhury
Prem Ki Ganga,1971,131.0,Romance,6.0,25.0,Kalyani,Ajay Kumar,Manish,Kamal Mishra
Prem Ki Jyot,1939,131.0,Drama,6.0,25.0,Gunjal,Eddie Billimoria,Rekha,Pran
Prem Ki Ragni,1935,131.0,Drama,6.0,25.0,Surajram,Ashok Kumar,Rekha,Pran
Prem Laksha,1936,131.0,Drama,6.0,25.0,Vimala Vasishta,Ashok Kumar,Rekha,Pran
Prem Mayee,2012,130.0,Drama,6.0,25.0,Shekhar S. Jha,Auroshika Dey,Saini S. Johray,Yatin Karyekar
Prem Milan,2005,131.0,Thriller,6.0,25.0,Mannan A. Gada,Reena Kapoor,Amit Pachori,Urmila
Prem Nagar,1940,131.0,Romance,6.0,25.0,Mohan Dayaram Bhavnani,Gulzar,Rekha,Pran
Prem Nagar,1974,200.0,"Drama, Musical, Romance",6.3,114.0,K.S. Prakash Rao,Rajesh Khanna,Hema Malini,Prem Chopra
Prem Paigham,1989,131.0,Romance,6.0,25.0,Navin Kumar,Birbal,Deepika Chikhalia,Tina Ghai
Prem Pariksha,1934,131.0,Drama,6.0,25.0,Baburao Pendharkar,Ashok Kumar,Rekha,Pran
Prem Parvat,1973,131.0,"Drama, Romance",6.0,8.0,Ved Rahi,Birbal,Hiralal,Satish Kaul
Prem Path,1994,131.0,Romance,6.0,25.0,Sudha Rani,Shashikumar,Rekha,Pran
Prem Patra,1962,157.0,"Drama, Romance",7.6,68.0,Bimal Roy,Sadhana,Shashi Kapoor,Seema Deo
Prem Pratigyaa,1989,156.0,"Drama, Romance",5.9,230.0,Bapu,Mithun Chakraborty,Madhuri Dixit,Vinod Mehra
Prem Pujaari,1935,131.0,Drama,6.0,25.0,Rafiq Rizvi,Alaknanda,Rafiq Ghaznavi,Keshavaro Mongle
Prem Pujari,1970,192.0,"Action, Drama, Musical",6.9,212.0,Dev Anand,Dev Anand,Waheeda Rehman,Shatrughan Sinha
Prem Qaidi,1991,156.0,"Action, Romance",2.1,153.0,K. Muralimohana Rao,Karisma Kapoor,Harish,Shafi Inamdar
Prem Rahasya,1981,131.0,Romance,6.0,25.0,Adoor Bhasi,Krishna Chandran,Jayabharati,K.P.A.C. Lalitha
Prem Ratan Dhan Payo,2015,164.0,"Action, Drama, Musical",4.4,19.0,Sooraj R. Barjatya,Salman Khan,Sonam Kapoor,Neil Nitin Mukesh
Prem Ratri,1936,131.0,Drama,6.0,25.0,Dwarka Khosla,Hari Shivdasani,Rekha,Pran
Prem Rog,1982,183.0,"Drama, Musical, Romance",7.2,913.0,Raj Kapoor,Shammi Kapoor,Nanda,Tanuja
Prem Sagar,1939,131.0,Drama,6.0,25.0,Narottam Vyas,Varalakshmi S.,Paresh Bannerjee,Koklia
Prem Sakshi,2004,131.0,Romance,6.0,25.0,Nutan Jayant,Madhu Kambikar,Nilu Phule,Pran
Prem Samadhi,1938,131.0,Drama,6.0,25.0,Khurshid Begum,Ashok Kumar,Rekha,Pran
Prem Sandesh,1988,131.0,Romance,6.0,25.0,S.M. Sagar,Rakesh Bedi,Mumtaz Begum,Master Bhagwan
Prem Sangeet,1943,131.0,Drama,6.0,25.0,W.Z. Ahmed,Paidi Jairaj,Neena,Pran
Prem Sanghat,1994,131.0,Musical,6.0,25.0,Santanu Bhowmick,Ashok Kumar,Rekha,Pran
Prem Shakti,1994,131.0,"Action, Drama, Fantasy",3.9,81.0,Shibu Mitra,Govinda,Karisma Kapoor,Shakti Kapoor
Prem Shastra,1974,102.0,"Drama, Romance",6.5,55.0,B.R. Ishara,Dev Anand,Zeenat Aman,Bindu
Prem Shastra,1999,131.0,Romance,6.0,25.0,Anil Dhanda,Neeraj Bharadwaj,Mahesh Gupta,Jhony Nirmal
Prem Sutra,2005,88.0,Thriller,6.0,25.0,Chandni Gupta,Chandni Gupta,Amit Pachori,Aman Sagar
Prem Tapasya,1983,137.0,"Drama, Romance",6.1,25.0,Narayana Rao Dasari,Jeetendra,Rekha,Reena Roy
Prem Tapasya,2002,105.0,Thriller,6.0,25.0,Sunny Kapoor,Chandni Gupta,Shabnam Raza,Sapna Sappu
Prem Vasna,2003,113.0,"Drama, Romance, Thriller",6.0,25.0,S. Prasad,Birbal,Anil Dhawan,Reena Kapoor
Prem Vivah,1979,131.0,"Drama, Family",6.0,24.0,Basu Chatterjee,Asha Parekh,Harish Bhimani,Mithun Chakraborty
Prem Yog,1994,148.0,"Drama, Family",6.1,65.0,Rajeev Kumar,Rishi Kapoor,Madhoo,Shammi Kapoor
Prem Yudh,1985,131.0,Romance,6.0,25.0,S.V. Rajendra Singh Babu,Ambika,Ravi Chandra,Sheetal
Prema Sikharam,1992,131.0,"Comedy, Drama, Family",5.6,7.0,Satya Gopal Bhatnagar,C. Arunpandian,Brahmanandam,Uttej
Premaatur,2021,109.0,"Horror, Romance, Thriller",6.0,25.0,Sumit Sagar,Prashant Walde,Heta Shah,Kalyani Kumari
Premante Idera,1998,131.0,"Romance, Drama",6.6,254.0,Jayant Paranji,Venkatesh Daggubati,Preity Zinta,Sivaji Raja
Prematho Raa,2001,131.0,Romance,5.1,107.0,Uday Shankar,Venkatesh Daggubati,Simran,Isha Koppikar
PremGranth,1996,156.0,"Action, Drama, Musical",5.7,425.0,Rajiv Kapoor,Shammi Kapoor,Rishi Kapoor,Madhuri Dixit
Premi,2005,131.0,Romance,6.0,25.0,Bhargavaram,Raks Jitender,Rekha,Pran
Premi Gangaram,1978,131.0,Romance,6.0,25.0,Jagdish Nirula,Yogeeta Bali,Bindu,I.S. Johar
Premi Pagal,1933,131.0,Drama,6.0,25.0,Ezra Mir,Noor Mohammad Charlie,Khatun,Pran
Premika,1980,131.0,Romance,6.0,25.0,Brij Katyal,Vinod Mehra,Usha Solanki,Usha Joshi
Premras,2001,131.0,Romance,6.0,25.0,Anjalini,Mahesh Raaj,Rajeev Raj,Pran
Prerana,1984,131.0,Romance,6.0,25.0,Moti Sagar,Moti Sagar,Kiran Juneja,Manmohan Krishna
President,1937,131.0,Drama,6.0,25.0,Nitin Bose,Kamaleshkumari,K.L. Saigal,Leela Desai
Pret Atma,1997,114.0,Horror,3.5,6.0,R. Mittal,Rajesh Mittal,Birbal,Anil Dhawan
Pride and Honour,2004,162.0,"Action, Crime, Drama",5.5,3.0,Puneet Issar,Salman Khan,Shilpa Shetty Kundra,Arbaaz Khan
Prince,1969,131.0,"Musical, Romance",7.1,146.0,Lekh Tandon,Shammi Kapoor,Vyjayanthimala,Rajendranath Malhotra
Prince,2010,138.0,"Action, Sci-Fi, Thriller",4.2,2.0,Kookie Gulati,Vivek Oberoi,Isaiah,Aruna Shields
Prince Vaali,2011,175.0,"Action, Adventure, Fantasy",5.8,11.0,Shiva Thejus,Daiana Menezes,Rekha,Pran
Princess Saba,1958,131.0,Action,6.0,25.0,R.K. Rehman,Kamran,Nazima,Pran
Prisoner of Golconda,1954,131.0,Fantasy,6.0,25.0,Prem Nath,Prem Nath,Bina Rai,Rajendranath Malhotra
Prisoners of Conscience,1978,45.0,Documentary,7.0,32.0,Anand Patwardhan,Ashok Kumar,Rekha,Pran
Pritam,1942,131.0,Drama,6.0,25.0,Mohan Sinha,Maya Banerjee,Shyam Sunder,Shanti
Prithipal Singh,2015,131.0,Biography,6.0,25.0,Babita Puri,Vikas Kumar,Anjali Patil,Deepak Sandhu
Prithvi,1997,136.0,"Action, Mystery, Thriller",4.4,108.0,Nitin Manmohan,Sunil Shetty,Shilpa Shetty Kundra,Suresh Oberoi
Prithvi Putra,1938,131.0,Drama,6.0,25.0,Jayant Desai,Eddie Billimoria,Rekha,Pran
Prithvi Vallabh,1943,121.0,Drama,7.7,27.0,Sohrab Modi,Sadiq Ali,Durga Khote,Leela Mishra
Prithviraj,2021,131.0,"Action, Drama, History",6.0,25.0,Chandra Prakash Dwivedi,Deependra Singh,Nikkita Chadha,Akshay Kumar
Prithviraj Samyogita,1946,131.0,Drama,6.0,25.0,Najam Naqvi,Prithviraj Kapoor,Rekha,Pran
Prithviraj Sanyogita,1933,131.0,Drama,6.0,25.0,Ghaznavi,Ashok Kumar,Rekha,Pran
Priti the dark shadow of society,2021,101.0,Family,6.0,25.0,Arjun Mahadev Vriti,Mohammad Ishtiyaq Mi Ishu Boy,Harish Gupta,Ayushi Chatterjee
Private Detective,1962,131.0,Thriller,6.0,25.0,A. Shamsheer,Naazi,Samar Roy,Heera Sawant
Private Detective: Two Plus Two Plus One,1997,130.0,Mystery,5.8,63.0,Rajat Kapoor,Naseeruddin Shah,Shambhavi Kaul,Irrfan Khan
Private Life,1983,131.0,Drama,6.0,25.0,B.K. Adarsh,Jaymala Adarsh,Ramesh Tiwari,Shrikant Moghe
Private Secretary,1962,131.0,"Drama, Family",5.4,5.0,Chandra,Ashok Kumar,Jayshree Gadkar,Raja Gosavi
Private Teacher,2016,109.0,Romance,6.0,25.0,Satyam Chauhan,Gayatri Singh,Rachna Soni,Rachna Thakur
Priya,1970,131.0,Drama,6.2,5.0,Govind Saraiya,Sanjeev Kumar,Tanuja,Agha
Priya: The Charming Girl of India,2019,131.0,Romance,4.0,6.0,Jay Kumar,Madhu Roy,Ekaterina Antonova,Tatyana Melnikova
Priyanka,1994,135.0,Drama,5.7,27.0,Viji Chandrashekhar,Delhi Ganesh,Anuradha Hasan,Jaishankar
Priyasakhi,2005,157.0,"Drama, Family, Romance",4.6,153.0,K.S. Adiyaman,Sanjay Singh,Madhavan,Sada
Priyatama,1978,120.0,"Comedy, Drama, Romance",6.7,51.0,Basu Chatterjee,Jeetendra,Neetu Singh,Rakesh Roshan
Procession of Memories,1973,164.0,"Action, Drama, Musical",7.4,1.0,Nasir Hussain,Dharmendra,Zeenat Aman,Vijay Arora
Professor,1962,166.0,"Comedy, Drama, Musical",7.0,248.0,Lekh Tandon,Shammi Kapoor,Lalita Pawar,Parveen Choudhary
Professor and Jadugar,1968,155.0,Drama,6.0,25.0,Sultan,Indira Bansal,Khurshid Bawra,Dalpat
Professor Ki Padosan,1994,138.0,Comedy,6.2,69.0,Shantilal Soni,Ravi Tandon,Sanjeev Kumar,Padmini Kolhapure
Professor Pyarelal,1981,133.0,"Action, Crime, Thriller",6.6,103.0,Brij,Zeenat Aman,Master Bhagwan,Brahmachari
Professor Waman M. Sc.,1938,131.0,Sci-Fi,6.0,25.0,Manibhai Vyas,Eddie Billimoria,Mazhar Khan,Sunita
Professor X,1966,131.0,Fantasy,6.0,25.0,Bela Bose,Vijaya Choudhury,Hiralal,Nazir Kashmiri
Project Kahuta,2021,82.0,"Biography, History, Thriller",6.0,25.0,Ankur Pajni,Manjari Fadnnis,Vinay Pathak,Ayushi Gupta
Project Marathwada,2016,110.0,Drama,6.4,77.0,Bhavin Wadia,Om Puri,Seema Biswas,Govind Namdeo
Project No.1,1998,131.0,Drama,6.0,25.0,Sheela Gaud,Damandeep,Shitul Gaud,Pran
Project Papa,2018,97.0,Drama,6.6,27.0,Kanika Batra,Kanika Batra,Rakesh Batra,Rajit Kapoor
Psychedelhi,2017,135.0,Drama,6.0,25.0,Surya Shankar,Vipin Bharadwaj,Rekha,Pran
Psycho Raman,2016,133.0,"Crime, Drama, Thriller",7.4,13.0,Anurag Kashyap,Nawazuddin Siddiqui,Vicky Kaushal,Sobhita Dhulipala
Pucca Badmaash,1991,131.0,Action,6.0,25.0,A. Salaam,Kiran Juneja,Amjad Khan,Suresh Oberoi
Puchki Das,1991,131.0,"Drama, Fantasy, Romance",6.0,25.0,Nikunj Rathod,Ashok Kumar,Rekha,Pran
Pudhiya Geethai,2003,140.0,"Action, Drama, Romance",4.7,1.0,Jagan,Joseph Vijay,Meera Jasmine,Ameesha Patel
Pugree,1948,131.0,Comedy,6.0,25.0,Anant Thakur,Amar,Ram Avtar,Chopra
Pujari,1946,131.0,Drama,6.0,25.0,Aspi Irani,Bipin Gupta,Madhubala,Masood
Pujarin,1969,131.0,Drama,6.0,25.0,Dhirubhai Desai,Vijay Dutt,Sadhana Khote,Niranjan Sharma
Pujarin,1936,137.0,Drama,6.0,25.0,Prafulla Roy,K.L. Saigal,Chandrabati Devi,Pahadi Sanyal
Pujarini,1935,131.0,Drama,6.0,25.0,Nandlal Jaswantlal,Dinshaw Bilimoria,Jamshedji,Jillo
Pukar,1983,161.0,"Action, Drama, Musical",6.0,316.0,Ramesh Behl,Amitabh Bachchan,Zeenat Aman,Randhir Kapoor
Puli Bebbuli,1983,149.0,"Action, Family, Drama",6.3,15.0,K.S.R. Das,Krishnamraju,Chiranjeevi,Jaya Prada
Pump Up the Mandali,2010,131.0,"Comedy, Drama, Music",6.0,25.0,Monti Issar,Azahr Adam,Rashmi Agarwal,Anandi lal Amin
Pumpapur Ki Ramleela,2015,131.0,Drama,6.0,25.0,Manoj Sati,Seema Biswas,Gulshan Grover,Eijaz Khan
Punar Milan,1940,131.0,"Drama, Romance",6.0,25.0,Najam Naqvi,Devika Rani,Snehprabha,Kishore Sahu
Punar Milan,1964,131.0,Drama,6.0,7.0,Ravindra Dave,Ameeta,Mumtaz Begum,Leela Chitnis
Punarjanma,1938,131.0,Drama,6.0,25.0,Jeevan,Jal Merchant,Rekha,Pran
Punches n Ponytails,2008,74.0,Documentary,6.0,25.0,Pankaj Rishi Kumar,Ashok Kumar,Rekha,Pran
Pune tc,2012,131.0,Comedy,6.0,25.0,Abhijeet Choudhary,Sulagna Chatterjee,Abhijeet Choudary,Dhanashree Heblikar
Punjab Ka Sinh,1936,131.0,Drama,6.0,25.0,Kanjibhai Rathod,Gulab,Rekha,Pran
Punjab Lancers,1937,131.0,Drama,6.0,25.0,N.G. Devare,Homi Master,Rekha,Pran
Punjab Mail,1939,131.0,Drama,6.0,25.0,Homi Wadia,Fearless Nadia,Rekha,Pran
Punnagai Mannan,1986,153.0,"Comedy, Drama, Romance",7.8,830.0,K. Balachander,Kamal Haasan,Revathi,Rekha
Punnami Nagu,2009,131.0,"Adventure, Drama, Fantasy",4.3,6.0,A. Kodandarami Reddy,Mumait Khan,Nalini,Suhasini
Purab Aur Pachhim,1970,142.0,"Drama, Romance",7.4,863.0,Manoj Kumar,Ashok Kumar,Saira Banu,Manoj Kumar
Purab Ki Laila Paschim Ka Chaila: Hello India,1991,131.0,Drama,6.0,25.0,Amrish Puri,Aruna Irani,Padmini Kapila,Udita Goswami
Puran Bhagat,1933,159.0,Drama,6.5,10.0,Debaki Bose,Choudhury Mohammed Rafiq,M. Kumar,Anwari
Purana Mandir,1984,144.0,"Comedy, Drama, Horror",6.4,492.0,Shyam Ramsay,Tulsi Ramsay,Mohnish Bahl,Arti Gupta
Purana Purush,1978,136.0,"Action, Adventure, Comedy",8.4,34.0,G.S. Murthy,Prabhakar,Manohar,Anamika
Purani Haveli,1989,139.0,Horror,5.2,250.0,Shyam Ramsay,Tulsi Ramsay,Deepak Parashar,Amita Nangia
Purani Jeans,2014,137.0,"Drama, Romance",6.3,762.0,Tanushri Chattrji Bassu,Tanuj Virwani,Izabelle Leite,Aditya Seal
Purani Kabar,1998,131.0,Horror,4.6,12.0,Rajeev Raj,Mohini,Mohan Joshi,Jack Gaud
Purani Pehchan,1971,131.0,Drama,6.0,25.0,Kewal Misra,Sanjeev Kumar,Tanuja,Bela Bose
Puraskar,1970,131.0,"Action, Comedy, Crime",4.6,8.0,Ram Kumar,Joy Mukherjee,Sapana,Helen
Puraskar,1948,131.0,Drama,6.0,25.0,T.R. Sundaram,Ashok Kumar,Rekha,Pran
Puratchi Thalaivi,2021,131.0,Biography,6.0,25.0,Bharathiraja,Anushka Shetty,Rekha,Pran
Purdah,2018,71.0,"Documentary, Drama, Sport",8.1,276.0,Jeremy Guy,Ashok Kumar,Rekha,Pran
Purna Satya,1997,131.0,Action,6.0,25.0,Aroskar,Ishrat Ali,Kishore Anand Bhanushali,Anant Jog
Purnima,1965,120.0,"Family, Romance",6.5,41.0,Narendra Suri,Dharmendra,Meena Kumari,Mehmood
Purush- Freedom of Choice,2018,131.0,Comedy,6.0,25.0,Tarun Datta,Raja Chaudhary,Sachin Datta,Tarun Datta
Pushkar Puran,2017,100.0,Documentary,6.5,22.0,Kamal Swaroop,Ashok Kumar,Rekha,Pran
Pushpa,2021,131.0,"Action, Drama, Thriller",6.0,25.0,Sukumar,Allu Arjun,Fahadh Faasil,Rashmika Mandanna
Pushpanjali,1970,131.0,"Drama, Family",7.1,9.0,Kishore Sahu,Sanjay Khan,Naina Sahu,Kishore Sahu
Pushpasaram,2001,131.0,Drama,6.0,25.0,Jayadevan,Rajkumar,Shakeela,Sindhu
Pustak,2017,68.0,Drama,6.0,25.0,Swadhaa R Singh,Arun Shekhar,Rekha,Pran
Putlibai,1999,131.0,"Action, Drama, Thriller",6.0,25.0,Yash Chouhan,Rajesh Bakshi,Lekha Govil,Raj Kiran
Putlibai,1972,131.0,Action,6.0,25.0,Ashok Roy,Chandrashekhar,Sujit Kumar,Jaya Mala
Pyaar,1940,131.0,Drama,6.0,25.0,Dhirubhai Desai,Anwari,Ishwarlal,Pran
Pyaar Banam Khap Panchayat,2020,118.0,Drama,6.0,25.0,Shambhu Purohit,Manoj Pandit,Manoj Bakshi,Donal Bisht
Pyaar Bina Jag Soona,1985,131.0,Romance,6.0,25.0,Surendra Sinha,Shoma Anand,Arun Govil,Kalpana Iyer
Pyaar Diwana,1972,135.0,Comedy,5.9,15.0,Samar Chatterjee,Kishore Kumar,Mumtaz,Padma Khanna
Pyaar Diwana Hota Hai,2002,148.0,"Comedy, Drama, Romance",3.9,335.0,Rani Mukerji,Govinda,Om Puri,Laxmikant Berde
Pyaar Hawas Dhoka,2015,109.0,"Romance, Thriller",6.0,25.0,M. Irfan,Ruby Ahmed,Vijay Bhaskar,Imtiaz Sultan
Pyaar Impossible!,2010,140.0,"Comedy, Romance",4.6,3.0,Jugal Hansraj,Priyanka Chopra Jonas,Anupam Kher,Uday Chopra
Pyaar Ishq Aur Mohabbat,2001,131.0,"Drama, Musical, Romance",4.0,587.0,Rajiv Rai,Arjun Rampal,Kirti Reddy,Sunil Shetty
Pyaar Ka Aachar,1991,131.0,Comedy,6.0,25.0,Navneet Saini,Ashok Kumar,Rekha,Pran
Pyaar Ka Pahela Sawan,1989,131.0,"Drama, Romance",6.0,25.0,Sudhir Dalvi,Sonika Gill,Vicky Khan,Chaman Puri
Pyaar Ka Punchnama,2011,149.0,"Comedy, Drama, Romance",7.6,20.0,Luv Ranjan,Kartik Aaryan,Raayo S. Bakhirta,Divyendu Sharma
Pyaar Ka Punchnama 2,2015,137.0,"Comedy, Drama, Romance",7.2,14.0,Luv Ranjan,Kartik Aaryan,Omkar Kapoor,Sunny Singh Nijjar
Pyaar Ka Rishta,1973,137.0,Drama,6.1,11.0,Sultan Ahmed,Balraj Sahni,Sameer Khan,Mumtaz
Pyaar Ka Saagar,1961,131.0,"Drama, Family, Musical",6.5,31.0,Devendra Goel,Rajendra Kumar,Meena Kumari,Madan Puri
Pyaar Ka Saaya,1991,131.0,Drama,4.1,58.0,Vinod K. Verma,Amrita Singh,Rahul Roy,Sheeba
Pyaar Ka Sindoor,1986,131.0,"Drama, Romance",4.0,10.0,Bapu,Jyoti,Anil Kapoor,Mukkamala
Pyaar Ka Tarana,1993,136.0,"Musical, Drama",4.3,24.0,Dev Anand,Manu Gargi,Anita Ayoob,Akshay Anand
Pyaar Ka Toofan,1990,131.0,"Action, Romance",6.0,25.0,S.M. Iqbal,Aditya Pancholi,Vijayata Pandit,Jamuna
Pyaar Kaa Fundaa,2010,131.0,"Comedy, Romance",6.0,25.0,Monazir Hasan,Kashi Tiwari,Yugbodh Garewal,Shakti Kapoor
Pyaar Karke Dekho,1987,144.0,"Drama, Family",6.4,58.0,D. Rajendra Babu,Govinda,Mandakini,Kader Khan
Pyaar Karle,2019,116.0,Drama,3.6,5.0,Rudra Patla Venugopal,Chitram Basha,Udita Goswami,Faheem Ul Haq
Pyaar Ke Do Chaar Din,1987,131.0,"Drama, Romance",6.0,25.0,Birbal,Brahmachari,Ajit Singh Deol,Jagminder
